epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1970.24,0.77989,0.64019,0.94387,0.81409,0.80595,0.85091,0.65324,1.0751,5.32323,1.08401,0.0008516,0.0008516,0.0008516
60,2004.09,0.77717,0.64262,0.94819,0.80672,0.79746,0.84708,0.67313,0.99784,5.88175,1.07255,0.0008318,0.0008318,0.0008318
61,2037.72,0.79116,0.6531,0.94798,0.82423,0.79897,0.85471,0.66165,1.03588,5.16266,1.07807,0.000812,0.000812,0.000812
62,2071.79,0.79428,0.64337,0.94079,0.81546,0.81077,0.85712,0.6641,1.04009,4.66531,1.07967,0.0007922,0.0007922,0.0007922
63,2105.77,0.7897,0.65264,0.94665,0.81711,0.79498,0.85333,0.65773,1.05942,5.68566,1.07703,0.0007724,0.0007724,0.0007724
64,2139.73,0.78078,0.64289,0.94105,0.8121,0.80611,0.85704,0.66191,1.05989,5.39415,1.08421,0.0007526,0.0007526,0.0007526
65,2173.32,0.76293,0.62392,0.93302,0.81439,0.80495,0.85977,0.67314,1.03232,5.04475,1.08231,0.0007328,0.0007328,0.0007328
66,2207.13,0.80472,0.65616,0.95117,0.83089,0.78867,0.85361,0.66262,1.04908,4.90466,1.08936,0.000713,0.000713,0.000713
67,2240.81,0.76516,0.63162,0.93892,0.82557,0.79548,0.85607,0.68262,0.99637,5.09585,1.07488,0.0006932,0.0006932,0.0006932
68,2274.85,0.79032,0.64337,0.94419,0.82614,0.79598,0.84998,0.66633,1.02542,5.44332,1.07759,0.0006734,0.0006734,0.0006734
69,2308.78,0.7723,0.63642,0.9418,0.81156,0.80711,0.85157,0.67091,1.03243,5.71534,1.08443,0.0006536,0.0006536,0.0006536
70,2342.66,0.79799,0.64266,0.94894,0.82168,0.79618,0.85758,0.67302,1.01721,5.73098,1.08029,0.0006338,0.0006338,0.0006338
71,2376.6,0.80666,0.65027,0.9433,0.82461,0.79441,0.85255,0.67242,1.02725,5.89781,1.08403,0.000614,0.000614,0.000614
72,2410.21,0.76537,0.6328,0.93844,0.8211,0.79066,0.85109,0.6735,1.02592,5.80118,1.08304,0.0005942,0.0005942,0.0005942
73,2443.83,0.77485,0.63939,0.94197,0.83034,0.79199,0.85504,0.67594,1.02975,5.49209,1.08356,0.0005744,0.0005744,0.0005744
74,2477.46,0.76361,0.63353,0.93641,0.82297,0.80327,0.856,0.67244,1.01984,5.83025,1.07526,0.0005546,0.0005546,0.0005546
75,2511.46,0.77258,0.63384,0.94101,0.82598,0.79018,0.85197,0.66983,1.02836,5.35773,1.08173,0.0005348,0.0005348,0.0005348
